RequirementText_string,Class
system shall refresh display every sixty point zero second ,NF
application shall match color schema set forth department homeland security ,NF
projected data must readable ten point zero x ten point zero projection screen ninety point zero viewer must able read event activity data viewing distance thirty point zero ,NF
product shall available normal business hour long user access client pc system available ninety-nine point zero time first six month operation ,NF
projected data must understandable ten point zero x ten point zero projection screen ninety point zero viewer must able determine event activity occuring current time viewing distance one hundred point zero ,NF
product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt ,NF
product shall intuitive selfexplanatory ninety point zero new user shall able start display event activity within ninety point zero minute using product ,NF
product shall respond fast keep uptodate data display ,NF
system shall mdi form allows viewing graph data table ,F
system shall display event vertical table time ,F
system shall display event graph time ,F
system shall display event activity ,F
display shall two region left two point zero three point zero display graphical right one point zero three point zero display data table ,F
data displayed node within graph row table msel summary data ,F
table side display shall split two point zero region sequential temporal ,F
top one point zero four point zero table hold event occur sequentially ,F
bottom three point zero four point zero table hold event occur according relevance current time ,F
system shall color code event according variance current time ,F
system shall display data sync matrix ten point zero exercise management tool ten point zero application ,F
system shall link event back either sync matrix ten point zero exercise managment tool ten point zero application modification ,F
system shall allow modification display ,F
system shall offer display event exercise ,F
system shall filter data venue key event ,F
system shall allow user define time segment ,F
system shall display local exercise time separate clock ,F
system shall offer ability pause resume refresh data ,F
system shall provide chart activity event actual versus assumed time ,F
system shall provide history report change made activity event data ,F
look feel system shall conform user interface standard smart device ,NF
user interface shall standard menu button navigation ,NF
system shall professional appearance ,NF
product shall consistent color scheme font ,NF
system shall used realtor training ,NF
system shall intuitive self explanatory ,NF
product shall easy realtor learn ,NF
product shall use symbol word naturally understandable realtor community ,NF
product shall produce search result acceptable time ,NF
search result shall returned later thirty point zero second user entered search criterion ,NF
product shall generate cma report acceptable time ,NF
cma report shall returned later sixty point zero second user entered cma report criterion ,NF
product shall synchronize contact appointment acceptable time ,NF
product shall synchronize office system every hour ,NF
product shall available use twenty-four point zero hour per day three hundred and sixty-five point zero day per year ,NF
one thousand point zero access system system available nine hundred and ninety-nine point zero time ,NF
product shall operate offline mode whenever internet connection unavailable ,NF
product shall allow user view previously downloaded search result cma report appointment ,NF
product shall retain user preference event failure ,NF
one hundred point zero saved user preference shall restored system come back online ,NF
product shall able support multiple remote user ,NF
product shall able support one thousand point zero simultaneous user ,NF
product shall capable handling existing one thousand point zero user number expected grow five point zero time within next year ,NF
product shall installed untrained realtor without recourse separatelyprinted instruction ,NF
ninety point zero untrained realtor shall able install product device without printed instruction ,NF
registered realtor shall able access system ,NF
every user system shall authenticated authorized ,NF
product shall prevent data incorrect data introduced ,NF
system shall allow real estate agent query ml information ,F
user shall able get driving direction selected property ,F
user shall able download appointment contact information client ,F
system shall display clear property image search result ,F
system shall update create new property listing ml ,F
realtor shall able generate cma report based property criterion ,F
system shall able call seller buyer schedule appointment ,F
realtor shall notified new client appointment automatic synchronization office system ,F
realtor shall able retrieve map showing property location specified area ,F
system shall notify realtor seller buyer responds appointment request ,F
product shall allow user save property search result ,F
system shall easy use program administrator nursing staff member ,NF
user shall able use system one day training ,NF
system shall help user avoid making mistake scheduling class clinicals nursing student ,NF
number mistake noted student shall decreased fifty point zero first year ,NF
system shall intuitive program administrator nursing staff member ,NF
two point zero three point zero program administrator nursing staff member shall successfully able use system manage scheduling class clinicals ,NF
system shall use symbol word naturally understandable user community ,NF
verbiage used within system shall consistent standard english terminology national nursing community ,NF
staff member shall able complete set task timely manner ,NF
response time general student management task shall take longer five point zero second response time schedule generation shall take longer thirty point zero second ,NF
system shall available use hour 8am 6pm ,NF
system shall achieve ninety-five point zero time ,NF
system shall able handle user request usage business hour ,NF
system shall cater ten point zero simultaneous user 9am 5pm ,NF
system shall capable processing one hundred point zero nursing student class next ten point zero year ,NF
system shall expected manage nursing program curriculum class clinical scheduling minimum five point zero year ,NF
system shall able operate within business office environment typical nursing department depaul university ,NF
system shall used within specification defined computer used program administrator nursing staff member ,NF
system shall operate within window xp professional operating system ,NF
system shall interface campusconnects central server ,NF
system shall interface faculty central server ,NF
system shall interface student master server ,NF
must able interface html browser ,NF
authorized user shall access clinical site information ,NF
program administrator nursing staff member people shall access clinical site detail ,NF
authorized user shall access student personal information ,NF
dr susan poslusny dr julie donalek people shall access student personal information ,NF
authorized user shall access portion system interface campusconnect ,NF
fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect ,NF
system shall basic data integrity checking reduce possibility incorrect invalid data introduced ,NF
system shall protect private information accordance organization information policy ,NF
system shall built secure possible malicious interference ,NF
system shall use organization standard virus protection software help monitor threat ,NF
cohort shall associated one program study offered department ,F
program administrator nursing staff member shall able add listing student cohort ,F
program administrator nursing staff member shall able add single student cohort ,F
student added cohort shall eligible cohort program study ,F
program administrator nursing staff member shall able specify preferred sequence class given cohort ,F
class within sequence cohort program administrator nursing staff member shall able specify quarter class offered ,F
class within sequence cohort program administrator nursing staff member shall able specify quarter class offered ,F
program administrator nursing staff member shall able add new class sequence class ,F
program administrator nursing staff member shall able add clinical class section sequence class ,F
program administrator nursing staff member shall able add new cohort system identified start month year ,F
